Antecedentes;Consequentes;Suporte;Confianca;Lift
escola_Colégio Aydano;turma_Turma A;0.74342105263158;1;1.3451327433628
turma_Turma A;escola_Colégio Aydano;0.74342105263158;1;1.3451327433628
escola_Colégio Aydano;fx_idade_adolescente;0.74342105263158;1;1
categoria_Política;escola_Colégio Aydano;0.26973684210526;0.77358490566038;1.040574386375
categoria_Saúde Pública;escola_Colégio Aydano;0.052631578947368;0.8;1.0761061946903
categoria_Tecnologia;escola_Colégio Aydano;0.11184210526316;0.85;1.1433628318584
auto_avaliacao_Avançado;escola_Colégio Aydano;0.052631578947368;0.8;1.0761061946903
auto_avaliacao_Proplayer;escola_Colégio Aydano;0.098684210526316;0.9375;1.2610619469027
avaliacao_jogo_Em processo;escola_Colégio Aydano;0.23684210526316;0.78260869565217;1.0527125817622
avaliacao_jogo_Proplayer;escola_Colégio Aydano;0.19736842105263;0.88235294117647;1.186881832379
capacidade_critica_DIMINUIU;escola_Colégio Aydano;0.28947368421053;0.81481481481481;1.0960340871845
turma_Turma B;escola_Colégio Perdro II;0.15131578947368;1;6.6086956521739
escola_Colégio Perdro II;turma_Turma B;0.15131578947368;1;6.6086956521739
escola_Colégio Perdro II;fx_idade_adolescente;0.15131578947368;1;1
turma_Turma C;escola_Escola Bertoni;0.10526315789474;1;9.5
escola_Escola Bertoni;turma_Turma C;0.10526315789474;1;9.5
escola_Escola Bertoni;fx_idade_adolescente;0.10526315789474;1;1
escola_Escola Bertoni;capacidade_critica_AUMENTOU;0.092105263157895;0.875;1.4148936170213
turma_Turma A;fx_idade_adolescente;0.74342105263158;1;1
categoria_Política;turma_Turma A;0.26973684210526;0.77358490566038;1.040574386375
categoria_Saúde Pública;turma_Turma A;0.052631578947368;0.8;1.0761061946903
categoria_Tecnologia;turma_Turma A;0.11184210526316;0.85;1.1433628318584
auto_avaliacao_Avançado;turma_Turma A;0.052631578947368;0.8;1.0761061946903
auto_avaliacao_Proplayer;turma_Turma A;0.098684210526316;0.9375;1.2610619469027
avaliacao_jogo_Em processo;turma_Turma A;0.23684210526316;0.78260869565217;1.0527125817622
avaliacao_jogo_Proplayer;turma_Turma A;0.19736842105263;0.88235294117647;1.186881832379
capacidade_critica_DIMINUIU;turma_Turma A;0.28947368421053;0.81481481481481;1.0960340871845
turma_Turma B;fx_idade_adolescente;0.15131578947368;1;1
turma_Turma C;fx_idade_adolescente;0.10526315789474;1;1
turma_Turma C;capacidade_critica_AUMENTOU;0.092105263157895;0.875;1.4148936170213
categoria_Economia;fx_idade_adolescente;0.32894736842105;1;1
categoria_Educação;fx_idade_adolescente;0.098684210526316;1;1
categoria_Política;fx_idade_adolescente;0.34868421052632;1;1
categoria_Saúde Pública;fx_idade_adolescente;0.065789473684211;1;1
categoria_Tecnologia;fx_idade_adolescente;0.13157894736842;1;1
auto_avaliacao_Avançado;fx_idade_adolescente;0.065789473684211;1;1
auto_avaliacao_Casual;fx_idade_adolescente;0.46052631578947;1;1
auto_avaliacao_Iniciante;fx_idade_adolescente;0.20394736842105;1;1
auto_avaliacao_Noob;fx_idade_adolescente;0.10526315789474;1;1
auto_avaliacao_Proplayer;fx_idade_adolescente;0.10526315789474;1;1
avaliacao_jogo_Avançado;fx_idade_adolescente;0.26315789473684;1;1
avaliacao_jogo_Casual;fx_idade_adolescente;0.11842105263158;1;1
avaliacao_jogo_Em processo;fx_idade_adolescente;0.30263157894737;1;1
avaliacao_jogo_Noob;fx_idade_adolescente;0.078947368421053;1;1
avaliacao_jogo_Proplayer;fx_idade_adolescente;0.22368421052632;1;1
capacidade_critica_AUMENTOU;fx_idade_adolescente;0.61842105263158;1;1
capacidade_critica_DIMINUIU;fx_idade_adolescente;0.35526315789474;1;1
categoria_Saúde Pública;capacidade_critica_AUMENTOU;0.052631578947368;0.8;1.2936170212766
avaliacao_jogo_Avançado;capacidade_critica_AUMENTOU;0.19736842105263;0.75;1.2127659574468
avaliacao_jogo_Casual;capacidade_critica_AUMENTOU;0.10526315789474;0.88888888888889;1.4373522458629
avaliacao_jogo_Noob;capacidade_critica_AUMENTOU;0.065789473684211;0.83333333333333;1.3475177304965
escola_Colégio Aydano, turma_Turma A;fx_idade_adolescente;0.74342105263158;1;1
escola_Colégio Aydano, fx_idade_adolescente;turma_Turma A;0.74342105263158;1;1.3451327433628
turma_Turma A, fx_idade_adolescente;escola_Colégio Aydano;0.74342105263158;1;1.3451327433628
escola_Colégio Aydano;turma_Turma A, fx_idade_adolescente;0.74342105263158;1;1.3451327433628
turma_Turma A;escola_Colégio Aydano, fx_idade_adolescente;0.74342105263158;1;1.3451327433628
categoria_Economia, escola_Colégio Aydano;turma_Turma A;0.24342105263158;1;1.3451327433628
categoria_Economia, turma_Turma A;escola_Colégio Aydano;0.24342105263158;1;1.3451327433628
escola_Colégio Aydano, categoria_Educação;turma_Turma A;0.059210526315789;1;1.3451327433628
turma_Turma A, categoria_Educação;escola_Colégio Aydano;0.059210526315789;1;1.3451327433628
escola_Colégio Aydano, categoria_Política;turma_Turma A;0.26973684210526;1;1.3451327433628
turma_Turma A, categoria_Política;escola_Colégio Aydano;0.26973684210526;1;1.3451327433628
categoria_Política;escola_Colégio Aydano, turma_Turma A;0.26973684210526;0.77358490566038;1.040574386375
escola_Colégio Aydano, categoria_Saúde Pública;turma_Turma A;0.052631578947368;1;1.3451327433628
turma_Turma A, categoria_Saúde Pública;escola_Colégio Aydano;0.052631578947368;1;1.3451327433628
categoria_Saúde Pública;escola_Colégio Aydano, turma_Turma A;0.052631578947368;0.8;1.0761061946903
escola_Colégio Aydano, categoria_Tecnologia;turma_Turma A;0.11184210526316;1;1.3451327433628
turma_Turma A, categoria_Tecnologia;escola_Colégio Aydano;0.11184210526316;1;1.3451327433628
categoria_Tecnologia;escola_Colégio Aydano, turma_Turma A;0.11184210526316;0.85;1.1433628318584
escola_Colégio Aydano, auto_avaliacao_Avançado;turma_Turma A;0.052631578947368;1;1.3451327433628
turma_Turma A, auto_avaliacao_Avançado;escola_Colégio Aydano;0.052631578947368;1;1.3451327433628
auto_avaliacao_Avançado;escola_Colégio Aydano, turma_Turma A;0.052631578947368;0.8;1.0761061946903
escola_Colégio Aydano, auto_avaliacao_Casual;turma_Turma A;0.34210526315789;1;1.3451327433628
turma_Turma A, auto_avaliacao_Casual;escola_Colégio Aydano;0.34210526315789;1;1.3451327433628
escola_Colégio Aydano, auto_avaliacao_Iniciante;turma_Turma A;0.14473684210526;1;1.3451327433628
turma_Turma A, auto_avaliacao_Iniciante;escola_Colégio Aydano;0.14473684210526;1;1.3451327433628
escola_Colégio Aydano, auto_avaliacao_Noob;turma_Turma A;0.072368421052632;1;1.3451327433628
turma_Turma A, auto_avaliacao_Noob;escola_Colégio Aydano;0.072368421052632;1;1.3451327433628
escola_Colégio Aydano, auto_avaliacao_Proplayer;turma_Turma A;0.098684210526316;1;1.3451327433628
auto_avaliacao_Proplayer, turma_Turma A;escola_Colégio Aydano;0.098684210526316;1;1.3451327433628
auto_avaliacao_Proplayer;escola_Colégio Aydano, turma_Turma A;0.098684210526316;0.9375;1.2610619469027
escola_Colégio Aydano, avaliacao_jogo_Avançado;turma_Turma A;0.18421052631579;1;1.3451327433628
turma_Turma A, avaliacao_jogo_Avançado;escola_Colégio Aydano;0.18421052631579;1;1.3451327433628
escola_Colégio Aydano, avaliacao_jogo_Casual;turma_Turma A;0.078947368421053;1;1.3451327433628
turma_Turma A, avaliacao_jogo_Casual;escola_Colégio Aydano;0.078947368421053;1;1.3451327433628
escola_Colégio Aydano, avaliacao_jogo_Em processo;turma_Turma A;0.23684210526316;1;1.3451327433628
turma_Turma A, avaliacao_jogo_Em processo;escola_Colégio Aydano;0.23684210526316;1;1.3451327433628
avaliacao_jogo_Em processo;escola_Colégio Aydano, turma_Turma A;0.23684210526316;0.78260869565217;1.0527125817622
escola_Colégio Aydano, avaliacao_jogo_Proplayer;turma_Turma A;0.19736842105263;1;1.3451327433628
turma_Turma A, avaliacao_jogo_Proplayer;escola_Colégio Aydano;0.19736842105263;1;1.3451327433628
avaliacao_jogo_Proplayer;escola_Colégio Aydano, turma_Turma A;0.19736842105263;0.88235294117647;1.186881832379
escola_Colégio Aydano, capacidade_critica_AUMENTOU;turma_Turma A;0.44078947368421;1;1.3451327433628
turma_Turma A, capacidade_critica_AUMENTOU;escola_Colégio Aydano;0.44078947368421;1;1.3451327433628
escola_Colégio Aydano, capacidade_critica_DIMINUIU;turma_Turma A;0.28947368421053;1;1.3451327433628
turma_Turma A, capacidade_critica_DIMINUIU;escola_Colégio Aydano;0.28947368421053;1;1.3451327433628
capacidade_critica_DIMINUIU;escola_Colégio Aydano, turma_Turma A;0.28947368421053;0.81481481481481;1.0960340871845
categoria_Economia, escola_Colégio Aydano;fx_idade_adolescente;0.24342105263158;1;1
escola_Colégio Aydano, categoria_Educação;fx_idade_adolescente;0.059210526315789;1;1
escola_Colégio Aydano, categoria_Política;fx_idade_adolescente;0.26973684210526;1;1
fx_idade_adolescente, categoria_Política;escola_Colégio Aydano;0.26973684210526;0.77358490566038;1.040574386375
