Antecedentes;Consequentes;Suporte;Confianca;Lift
escola_Memore;turma_JEDI;1;1;1
turma_JEDI;escola_Memore;1;1;1
escola_Memore;fx_idade_adolescente;1;1;1
fx_idade_adolescente;escola_Memore;1;1;1
categoria_Economia e Negócios;escola_Memore;0.4;1;1
categoria_Economia e Negócios / Meio Ambiente e Clima / Educação / Política;escola_Memore;0.2;1;1
categoria_Economia e Negócios / Política;escola_Memore;0.2;1;1
categoria_Tecnologia e Inovação;escola_Memore;0.2;1;1
auto_avaliacao_Avançado;escola_Memore;0.2;1;1
auto_avaliacao_Iniciante;escola_Memore;0.4;1;1
auto_avaliacao_Meu nível para;escola_Memore;0.2;1;1
auto_avaliacao_Proplayer;escola_Memore;0.2;1;1
avaliacao_jogo_Em processo;escola_Memore;0.2;1;1
avaliacao_jogo_Iniciante;escola_Memore;0.4;1;1
avaliacao_jogo_Noob;escola_Memore;0.4;1;1
capacidade_critica_AUMENTOU;escola_Memore;0.4;1;1
capacidade_critica_DIMINUIU;escola_Memore;0.2;1;1
capacidade_critica_MANTEVE;escola_Memore;0.4;1;1
turma_JEDI;fx_idade_adolescente;1;1;1
fx_idade_adolescente;turma_JEDI;1;1;1
categoria_Economia e Negócios;turma_JEDI;0.4;1;1
categoria_Economia e Negócios / Meio Ambiente e Clima / Educação / Política;turma_JEDI;0.2;1;1
categoria_Economia e Negócios / Política;turma_JEDI;0.2;1;1
categoria_Tecnologia e Inovação;turma_JEDI;0.2;1;1
auto_avaliacao_Avançado;turma_JEDI;0.2;1;1
auto_avaliacao_Iniciante;turma_JEDI;0.4;1;1
auto_avaliacao_Meu nível para;turma_JEDI;0.2;1;1
auto_avaliacao_Proplayer;turma_JEDI;0.2;1;1
avaliacao_jogo_Em processo;turma_JEDI;0.2;1;1
avaliacao_jogo_Iniciante;turma_JEDI;0.4;1;1
avaliacao_jogo_Noob;turma_JEDI;0.4;1;1
capacidade_critica_AUMENTOU;turma_JEDI;0.4;1;1
capacidade_critica_DIMINUIU;turma_JEDI;0.2;1;1
capacidade_critica_MANTEVE;turma_JEDI;0.4;1;1
categoria_Economia e Negócios;fx_idade_adolescente;0.4;1;1
categoria_Economia e Negócios / Meio Ambiente e Clima / Educação / Política;fx_idade_adolescente;0.2;1;1
categoria_Economia e Negócios / Política;fx_idade_adolescente;0.2;1;1
categoria_Tecnologia e Inovação;fx_idade_adolescente;0.2;1;1
auto_avaliacao_Avançado;fx_idade_adolescente;0.2;1;1
auto_avaliacao_Iniciante;fx_idade_adolescente;0.4;1;1
auto_avaliacao_Meu nível para;fx_idade_adolescente;0.2;1;1
auto_avaliacao_Proplayer;fx_idade_adolescente;0.2;1;1
avaliacao_jogo_Em processo;fx_idade_adolescente;0.2;1;1
avaliacao_jogo_Iniciante;fx_idade_adolescente;0.4;1;1
avaliacao_jogo_Noob;fx_idade_adolescente;0.4;1;1
capacidade_critica_AUMENTOU;fx_idade_adolescente;0.4;1;1
capacidade_critica_DIMINUIU;fx_idade_adolescente;0.2;1;1
capacidade_critica_MANTEVE;fx_idade_adolescente;0.4;1;1
